Kod,Nazwa,l_os_na_1_miejsce_kina,boiska,zaludnienie,dochod_powiatu,miejsca_wkinach
202000,Powiat dzierżoniowski,196,33,211,99936066.28,514
203000,Powiat głogowski,89,23,201,98664352.7,998
204000,Powiat górowski,109,12,47,127286413.4,320
205000,Powiat jaworski,2506,26,86,42192299.46,20
206000,Powiat karkonoski,3180,22,101,70740268.68,20
207000,Powiat kamiennogórski,2162,17,109,82052640.82,20
208000,Powiat kłodzki,107,31,96,51399137.96,1483
209000,Powiat legnicki,284,41,74,211034040.1,194
210000,Powiat lubański,124,13,127,75275404.54,436
211000,Powiat lubiński,67,33,149,63413301.83,1591
212000,Powiat lwówecki,1148,24,65,150143431.3,40
214000,Powiat oleśnicki,352,47,102,57993499.69,305
215000,Powiat oławski,101,42,146,123186362.0,763
216000,Powiat polkowicki,339,46,81,89783463.4,186
217000,Powiat strzeliński,156,29,70,69947471.79,280
218000,Powiat średzki,278,62,78,57301719.13,198
219000,Powiat świdnicki,113,61,212,58761132.34,1388
220000,Powiat trzebnicki,268,49,83,177758491.0,318
222000,Powiat wołowski,160,13,69,53262902.53,292
225000,Powiat zgorzelecki,94,18,106,99420328.89,946
226000,Powiat złotoryjski,207,26,76,106360313.1,210
261000,Powiat m.Jelenia Góra,53,2,724,55791114.28,1504
403000,Powiat bydgoski,456,27,85,85422567.15,260
404000,Powiat chełmiński,186,15,99,101578417.1,279
407000,Powiat inowrocławski,318,34,130,39862083.96,503
408000,Powiat lipnowski,450,7,65,187686582.7,146
409000,Powiat mogileński,234,8,68,73020585.21,195
412000,Powiat rypiński,163,12,74,57181807.63,267
414000,Powiat świecki,295,24,67,61857036.69,336
419000,Powiat żniński,259,5,71,100688905.7,271
602000,Powiat biłgorajski,360,27,60,133567269.6,280
604000,Powiat hrubieszowski,152,7,50,97232798.13,413
605000,Powiat janowski,224,9,52,74234973.79,204
606000,Powiat krasnostawski,289,7,61,68775648.69,219
607000,Powiat kraśnicki,256,10,95,112010611.7,373
608000,Powiat lubartowski,494,13,69,119071400.3,179
611000,Powiat łukowski,1571,13,77,65904614.19,68
612000,Powiat opolski,470,15,73,141790885.5,126
614000,Powiat puławski,167,7,121,48409375.43,677
616000,Powiat rycki,262,6,91,74723885.84,214
617000,Powiat świdnicki,214,10,153,93532033.36,335
618000,Powiat tomaszowski,246,13,56,108262083.1,337
619000,Powiat włodawski,142,3,31,100510704.0,270
620000,Powiat zamojski,1061,12,57,75011022.73,100
661000,Powiat m.Biała Podlaska,65,5,1157,102002681.7,881
803000,Powiat międzyrzecki,116,29,41,62095444.15,495
804000,Powiat nowosolski,756,9,112,77417865.68,114
