Kod;Nazwa;liczba_ludnosci_na_1_miejsce_w_kinach_stalych;boiska;gestosc_zaludnienia_na_km_2;dochody_budzetow_powiatow_2019;miejsca_na_widowni_w_kinach_stalych_2019;;;;;;;;;
201000;Powiat bolesławiecki;174;25;69;;519;;;;;201000;Powiat bolesławiecki;25;;0
202000;Powiat dzierżoniowski;196;33;211;99936066,28;514;;;;;202000;Powiat dzierżoniowski;33;;0
203000;Powiat głogowski;89;23;201;98664352,7;998;;;;;203000;Powiat głogowski;23;;0
204000;Powiat górowski;109;12;47;127286413,4;320;;;;;204000;Powiat górowski;12;;0
205000;Powiat jaworski;2506;26;86;42192299,46;20;;;;;205000;Powiat jaworski;26;;0
206000;Powiat karkonoski;3180;22;101;70740268,68;20;;;;;206000;Powiat karkonoski;22;;0
207000;Powiat kamiennogórski;2162;17;109;82052640,82;20;;;;;207000;Powiat kamiennogórski;17;;0
208000;Powiat kłodzki;107;31;96;51399137,96;1483;;;;;208000;Powiat kłodzki;31;;0
209000;Powiat legnicki;284;41;74;211034040,1;194;;;;;209000;Powiat legnicki;41;;0
210000;Powiat lubański;124;13;127;75275404,54;436;;;;;210000;Powiat lubański;13;;0
211000;Powiat lubiński;67;33;149;63413301,83;1591;;;;;211000;Powiat lubiński;33;;0
212000;Powiat lwówecki;1148;24;65;150143431,3;40;;;;;212000;Powiat lwówecki;24;;0
213000;Powiat milicki;;11;52;65610958,17;;;;;;213000;Powiat milicki;11;;0
214000;Powiat oleśnicki;352;47;102;57993499,69;305;;;;;214000;Powiat oleśnicki;47;;0
215000;Powiat oławski;101;42;146;123186362;763;;;;;215000;Powiat oławski;42;;0
216000;Powiat polkowicki;339;46;81;89783463,4;186;;;;;216000;Powiat polkowicki;46;;0
217000;Powiat strzeliński;156;29;70;69947471,79;280;;;;;217000;Powiat strzeliński;29;;0
218000;Powiat średzki;278;62;78;57301719,13;198;;;;;218000;Powiat średzki;62;;0
219000;Powiat świdnicki;113;61;212;58761132,34;1388;;;;;219000;Powiat świdnicki;61;;0
220000;Powiat trzebnicki;268;49;83;177758491;318;;;;;220000;Powiat trzebnicki;49;;0
221000;Powiat wałbrzyski;;19;129;90513782,93;;;;;;221000;Powiat wałbrzyski;19;;0
222000;Powiat wołowski;160;13;69;53262902,53;292;;;;;222000;Powiat wołowski;13;;0
223000;Powiat wrocławski;;91;135;67172618,73;;;;;;223000;Powiat wrocławski;91;;0
224000;Powiat ząbkowicki;;11;81;158407449,3;;;;;;224000;Powiat ząbkowicki;11;;0
225000;Powiat zgorzelecki;94;18;106;99420328,89;946;;;;;225000;Powiat zgorzelecki;18;;0
226000;Powiat złotoryjski;207;26;76;106360313,1;210;;;;;226000;Powiat złotoryjski;26;;0
261000;Powiat m.Jelenia Góra;53;2;724;55791114,28;1504;;;;;261000;Powiat m.Jelenia Góra;2;;0
262000;Powiat m.Legnica;75;;1765;;1323;;;;;;;;;
264000;Powiat m.Wrocław;40;26;2195;;16164;;;;;264000;Powiat m.Wrocław;26;;0
265000;Powiat m.Wałbrzych od 2013;60;2;1315;;1841;;;;;265000;Powiat m.Wałbrzych od 2013;2;;0
401000;Powiat aleksandrowski;210;4;116;;262;;;;;401000;Powiat aleksandrowski;4;;0
402000;Powiat brodnicki;;25;76;68071263,47;;;;;;402000;Powiat brodnicki;25;;0
403000;Powiat bydgoski;456;27;85;85422567,15;260;;;;;403000;Powiat bydgoski;27;;0
404000;Powiat chełmiński;186;15;99;101578417,1;279;;;;;404000;Powiat chełmiński;15;;0
405000;Powiat golubsko-dobrzyński;;8;73;74870613,59;;;;;;405000;Powiat golubsko-dobrzyński;8;;0
406000;Powiat grudziądzki;;16;55;50590771,25;;;;;;406000;Powiat grudziądzki;16;;0
407000;Powiat inowrocławski;318;34;130;39862083,96;503;;;;;407000;Powiat inowrocławski;34;;0
408000;Powiat lipnowski;450;7;65;187686582,7;146;;;;;408000;Powiat lipnowski;7;;0
409000;Powiat mogileński;234;8;68;73020585,21;195;;;;;409000;Powiat mogileński;8;;0
410000;Powiat nakielski;;17;77;65993777,4;;;;;;410000;Powiat nakielski;17;;0
411000;Powiat radziejowski;;3;66;110140735,6;;;;;;411000;Powiat radziejowski;3;;0
412000;Powiat rypiński;163;12;74;57181807,63;267;;;;;412000;Powiat rypiński;12;;0
413000;Powiat sępoleński;;20;52;63174783,23;;;;;;413000;Powiat sępoleński;20;;0
414000;Powiat świecki;295;24;67;61857036,69;336;;;;;414000;Powiat świecki;24;;0
415000;Powiat toruński;;31;88;132997931,8;;;;;;415000;Powiat toruński;31;;0
416000;Powiat tucholski;;14;45;112550731,8;;;;;;416000;Powiat tucholski;14;;0
417000;Powiat wąbrzeski;;17;68;88650428,22;;;;;;417000;Powiat wąbrzeski;17;;0
418000;Powiat włocławski;;6;58;50082736;;;;;;418000;Powiat włocławski;6;;0
419000;Powiat żniński;259;5;71;100688905,7;271;;;;;419000;Powiat żniński;5;;0
461000;Powiat m.Bydgoszcz;61;19;1979;84927855,33;5671;;;;;461000;Powiat m.Bydgoszcz;19;;0
462000;Powiat m.Grudziądz;73;4;1634;;1295;;;;;462000;Powiat m.Grudziądz;4;;0
463000;Powiat m.Toruń;47;14;1741;;4254;;;;;463000;Powiat m.Toruń;14;;0
464000;Powiat m.Włocławek;90;2;1303;;1220;;;;;464000;Powiat m.Włocławek;2;;0
601000;Powiat bialski;602;10;40;;184;;;;;601000;Powiat bialski;10;;0
